1203,,03-28,,,,,,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-29,,,,,,
,,,90,35,SC,,29,33.25,-118.25,1,1,Unpooled
1203SH,SHIMADA,03-29,,,,22:34:00,,,,,,
,,,,,,,22:54:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-29,,,,,,
,,,90,37,SC,,29,33.18,-118.40,12.7,1,Unpooled
1203SH,SHIMADA,03-29,,,,19:37:00,,,,,,
,,,,,,,19:57:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-29,,,,,,
,,,90,45,SC,,29,32.92,-118.93,0.5,1,Unpooled
1203SH,SHIMADA,03-29,,,,14:47:00,,,,,,
,,,,,,,15:07:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-29,,,,,,
,,,90,53,SC,,29,32.65,-119.48,1.5,1,Unpooled
1203SH,SHIMADA,03-29,,,,09:42:00,,,,,,
,,,,,,,10:01:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-29,,,,,,
,,,90,60,SC,,29,32.42,-119.95,3.9,1,Unpooled
1203SH,SHIMADA,03-29,,,,04:24:00,,,,,,
,,,,,,,04:44:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-30,,,,,,
,,,86.7,40,SC,,30,33.65,-118.97,0.9,1,Unpooled
1203SH,SHIMADA,03-30,,,,12:03:00,,,,,,
,,,,,,,12:23:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-30,,,,,,
,,,86.7,45,SC,,30,33.48,-119.32,3.8,1,Unpooled
1203SH,SHIMADA,03-30,,,,16:01:00,,,,,,
,,,,,,,16:21:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-30,,,,,,
,,,86.7,50,SC,,30,33.32,-119.67,5.2,1,Unpooled
1203SH,SHIMADA,03-30,,,,19:22:00,,,,,,
,,,,,,,19:27:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-30,,,,,,
,,,86.7,55,SC,,30,33.15,-120.00,46.3,1,Unpooled
1203SH,SHIMADA,03-30,,,,23:05:00,,,,,,
,,,,,,,23:26:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-30,,,,,,
,,,90,28,SC,,30,33.48,-117.77,1,1,Unpooled
1203SH,SHIMADA,03-30,,,,04:39:00,,,,,,
,,,,,,,04:45:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-30,,,,,,
,,,90,30,SC,,30,33.42,-117.90,1.9,1,Unpooled
1203SH,SHIMADA,03-30,,,,02:28:00,,,,,,
,,,,,,,02:49:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-31,,,,,,
,,,83.3,55,SC,,31,33.75,-120.42,147.3,1,Unpooled
1203SH,SHIMADA,03-31,,,,23:06:00,,,,,,
,,,,,,,23:26:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-31,,,,,,
,,,83.3,60,SC,,31,33.58,-120.75,406.8,1,Unpooled
1203SH,SHIMADA,03-31,,,,19:08:00,,,,,,
,,,,,,,19:26:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-31,,,,,,
,,,83.3,70,SC,,31,33.25,-121.43,51,1,Unpooled
1203SH,SHIMADA,03-31,,,,13:46:00,,,,,,
,,,,,,,14:06:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-31,,,,,,
,,,86.7,60,SC,,31,33,-120.35,87.6,1,Unpooled
1203SH,SHIMADA,03-31,,,,02:38:00,,,,,,
,,,,,,,02:58:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-31,,,,,,
,,,86.7,70,SC,,31,32.67,-121.03,276.9,1,Unpooled
1203SH,SHIMADA,03-31,,,,06:56:00,,,,,,
,,,,,,,07:16:00,,,,,
,,,,,,,2012-04-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-04-01,,,,,,
,,,83.3,40.6,SC,,1,34.23,-119.45,2,1,Unpooled
1203SH,SHIMADA,04-01,,,,23:52:00,,,,,,
,,,,,,,23:56:00,,,,,
,,,,,,,2012-04-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-04-01,,,,,,
,,,83.3,42,SC,,1,34.18,-119.50,0,1,Unpooled
1203SH,SHIMADA,04-01,,,,22:04:00,,,,,,
,,,,,,,22:19:00,,,,,
,,,,,,,2012-04-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-04-01,,,,,,
,,,86.7,33,SC,,1,33.88,-118.50,0,1,Unpooled
1203SH,SHIMADA,04-01,,,,12:18:00,,,,,,
,,,,,,,12:22:00,,,,,
CALCOFI,BELL M.,2012-,86.7,35,SC,2012-04-01,2012-04-,33.82,-118.63,60.5,1,Unpooled
1203SH,SHIMADA,04-01,,,,09:42:00,1,,,,,
,,,,,10:03:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-02,,,,,,,
,,,80,51,SC,2,34.45,-120.52,0.7,1,Unpooled,
1203SH,SHIMADA,04-02,,,07:49:00,,,,,,,
,,,,,07:55:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-02,,,,,,,
,,,81.8,46.9,SC,2,34.28,-120.02,0,1,Unpooled,
1203SH,SHIMADA,04-02,,,04:00:00,,,,,,,
,,,,,04:20:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-06,,,,,,,
,,,80,55,SC,6,34.32,-120.80,44.1,1,Unpooled,
1203SH,SHIMADA,04-06,,,08:44:00,,,,,,,
,,,,,09:04:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-06,,,,,,,
,,,80,60,SC,6,34.15,-121.15,25.8,1,Unpooled,
1203SH,SHIMADA,04-06,,,12:41:00,,,,,,,
,,,,,13:01:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-14,,,,,,,
,,,86.7,60,SC,14,32.98,-120.35,110.7,1,Unpooled,
1204SH OS,SHIMADA,04-14,,,21:24:00,,,,,,,
,,,,,21:45:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-14,,,,,,,
,,,86.7,70,SC,14,32.65,-121.03,6.5,1,Unpooled,
1204SH OS,SHIMADA,04-14,,,13:21:00,,,,,,,
,,,,,13:41:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-15,,,,,,,
,,,86.7,50,SC,15,33.32,-119.67,0.4,1,Unpooled,
1204SH OS,SHIMADA,04-15,,,11:34:00,,,,,,,
,,,,,11:40:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-15,,,,,,,
,,,86.7,55,SC,15,33.15,-120.00,50.5,1,Unpooled,
1204SH OS,SHIMADA,04-15,,,07:56:00,,,,,,,
,,,,,08:17:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,OCEAN,2012-,,,2012-04-19,,,,,,,
,,,80,55,SC,19,34.32,-120.80,20.8,1,Unpooled,
1204SH OS,STARR,04-19,,,08:01:00,,,,,,,
,,,,,08:21:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,OCEAN,2012-,,,2012-04-19,,,,,,,
,,,80,60,SC,19,34.15,-121.15,73.9,1,Unpooled,
1204SH OS,STARR,04-19,,,12:17:00,,,,,,,
,,,,,12:38:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,OCEAN,2012-,,,2012-04-19,,,,,,,
,,,80,70,SC,19,33.82,-121.83,600.4,1,Unpooled,
1204SH OS,STARR,04-19,,,19:24:00,,,,,,,
,,,,,19:44:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-19,,,,,,,
,,,90,53,SC,19,32.48,-119.48,2,1,Unpooled,
1204SH OS,SHIMADA,04-19,,,13:54:00,,,,,,,
,,,,,14:14:00,,,,,,,
,,,,,2012-04-,,,,,,,
CALCOFI,BELL M.,2012-,,,2012-04-19,,,,,,,
,,,90,60,SC,19,32.42,-119.97,2.5,1,Unpooled,
1204SH OS,SHIMADA,04-19,,,09:46:00,,,,,,,
,,,,,10:06:00,,,,,,,
CALCOFI,,2013-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,31941,8,Pooled
1304,,04-20,,,,,,,,,,
CALCOFI,,2014-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,19116.7,10,Pooled
1404,,04-07,,,,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-04,,,,,,,
,,,93.3,28,SC,4,32.91,-117.40,46.6,1,Unpooled,
1504,Horizon,04-04,,,19:40:00,,,,,,,
,,,,,20:02:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-04,,,,,,,
,,,93.3,30,SC,4,32.84,-117.54,242.3,1,Unpooled,
1504,Horizon,04-04,,,22:20:00,,,,,,,
,,,,,22:41:00,,,,,,,
,,,,,2371-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-05,,,,,,,
,,,93.3,35,SC,5,32.68,-117.87,14.3,1,Unpooled,
1504,Horizon,04-05,,,02:13:00,,,,,,,
,,,,,00:00:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-05,,,,,,,
,,,93.3,55,SC,5,32.01,-119.23,7.7,1,Unpooled,
1504,Horizon,04-05,,,19:26:00,,,,,,,
,,,,,19:47:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-05,,,,,,,
,,,93.3,60,SC,5,31.84,-119.57,3.6,1,Unpooled,
1504,Horizon,04-05,,,23:45:00,,,,,,,
,,,,,00:08:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-10,,,,,,,
,,,90,45,SC,10,32.92,-118.94,87.8,1,Unpooled,
1504,Horizon,04-10,,,00:03:00,,,,,,,
,,,,,00:26:00,,,,,,,
CALCOFI,,2015-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,14505.5,11,Pooled
1504,,04-10,,,,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-11,,,,,,,
,,,86.7,35,SC,11,33.82,-118.63,0,1,Unpooled,
1504,Horizon,04-11,,,03:08:00,,,,,,,
,,,,,03:31:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-11,,,,,,,
,,,86.7,55,SC,11,33.16,-120.01,57.3,1,Unpooled,
1504,Horizon,04-11,,,20:17:00,,,,,,,
,,,,,20:39:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-12,,,,,,,
,,,86.7,60,SC,12,32.99,-120.35,150.4,1,Unpooled,
1504,Horizon,04-12,,,00:31:00,,,,,,,
,,,,,00:57:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-13,,,,,,,
,,,83.3,70,SC,13,33.24,-121.44,0,1,Unpooled,
1504,Horizon,04-13,,,22:54:00,,,,,,,
,,,,,23:16:00,,,,,,,
,,,,,2015-04-,,,,,,,
CALCOFI,New,2015-,,,2015-04-16,,,,,,,
,,,80,55,SC,16,34.31,-120.79,14.8,1,Unpooled,
1504,Horizon,04-16,,,03:29:00,,,,,,,
,,,,,03:53:00,,,,,,,
CALCOFI,,2016-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,29363,15,Pooled
1604,,04-09,,,,,,,,,,
CALCOFI,,2017-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,9438.3,10,Pooled
1704,,04-04,,,,,,,,,,
CALCOFI,,2018-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,16205.6,13,Pooled
1804,,04-12,,,,,,,,,,
CALCOFI,,2019-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,19264.3,12,Pooled
1904,,04-09,,,,,,,,,,
,,,,,Records 1 to 80 of 80,,,,,,,
